# water and pfoah on sio2 slab

1996 atoms
8    atom types

Masses

1 1.0078       ! H of water
2 15.9994      ! O of water
3 12.011       ! C of pfoa
4 18.998403    ! F of pfoa
5 15.9994      ! O of pfoa
6 1.0078       ! H of pfoa
7 22.989769    ! Na of ion
8 35.453       ! Cl of ion

Atoms

494       1          0.2528    10.3130    12.6500    50.0010  
495       2         -0.4105    11.1560    12.3550    50.4490  
496       1          0.2528    6.7700     21.0160    12.4480  
497       1          0.2528    7.1470     19.6480    13.2580  
498       2         -0.4105    6.4030     20.1740    12.8460  
499       1          0.2528    15.9240    10.4230    35.9810  
500       1          0.2528    15.9860    12.0480    36.1260  
501       2         -0.4105    16.5000    11.2320    35.8640  
502       1          0.2528    13.7670    2.9590     25.4010  
503       1          0.2528    14.0880    1.4250     25.8620  
504       2         -0.4105    14.4850    2.3270     25.6930  
505       1          0.2528    11.7530    10.1120    11.2090  
506       1          0.2528    10.3890    9.5200     11.8850  
507       2         -0.4105    11.3470    9.3270     11.6780  
508       1          0.2528    5.5610     6.3160     17.4030  
509       1          0.2528    5.5190     7.8900     16.9730  
510       2         -0.4105    6.0820     7.1690     17.3740  
511       1          0.2528    14.2410    11.1500    48.3840  
512       1          0.2528    14.5790    9.5720     48.1340  
513       2         -0.4105    13.9170    10.3020    47.9650  
514       1          0.2528    15.4080    0.3270     12.3590  
515       1          0.2528    14.0350    1.2080     12.4320  
516       2         -0.4105    14.4770    0.3600     12.7230  
517       1          0.2528    0.0300     2.2070     36.9320  
518       1          0.2528    0.2400     1.2160     35.6510  
519       2         -0.4105    0.2880     2.1630     35.9670  
520       1          0.2528    14.2420    17.8960    18.1020  
